# Voodoo Trace - Frame 49
# Format: <CMD> <timestamp> <addr> [register_name] <data> [(float_value)] [xN]
# Fixed-point formats: S12.4 (vertices), S18.14 (RGBA), S20.12 (Z), S14.18 (S/T), S2.30 (W)
#
RREG_L               54 0x000000 status           0x1f89b3bf
WREG_L             7516 0x2000a8 fdRdY            0xbb6131f4 (-0.003436)
WREG_L             7541 0x2000ac fstartG          0x43486b65 (200.419510)
WREG_L             7563 0x2000b0 fdGdX            0x3b76b499 (0.003764)
WREG_L             7563 0x2000b4 fdGdY            0xbb6131f4 (-0.003436)
WREG_L             7588 0x2000b8 fstartB          0x43486b65 (200.419510)
WREG_L             7610 0x2000bc fdBdX            0x3b76b499 (0.003764)
WREG_L             7610 0x2000c0 fdBdY            0xbb6131f4 (-0.003436)
WREG_L             7635 0x2000d0 fstartA          0x437f0000 (255.000000)
WREG_L             7678 0x2000d4 fdAdX            0x00000000 (0.000000)
WREG_L             7678 0x2000d8 fdAdY            0x80000000 (-0.000000)
WREG_L             7703 0x2000f4 fstartW          0x3a4726af (0.000760)
WREG_L             7746 0x2000f8 fdWdX            0x00000000 (0.000000)
WREG_L             7746 0x2000fc fdWdY            0x80000000 (-0.000000)
WTEX_L             7774 0xe20000 0x00000000
WREG_L             7812 0x200100 ftriangleCMD     0xc5130b10
WREG_L             7859-        7901 0x000110 fbzMode          0x000b4379 x2
WREG_L             8258 0x00010c alphaMode        0x00045110
WREG_L             8380 0x200088 fvertexAx        0x49401561 (786774.062500)
WREG_L             8455 0x20008c fvertexAy        0x494012b0 (786731.000000)
WREG_L             8455 0x200090 fvertexBx        0x494011f1 (786719.062500)
WREG_L             8455 0x200094 fvertexBy        0x49401303 (786736.187500)
WREG_L             8455 0x200098 fvertexCx        0x494014b5 (786763.312500)
WREG_L             8455 0x20009c fvertexCy        0x4940159f (786777.937500)
WREG_L             8512 0x2000a0 fstartR          0x434831c0 (200.194336)
WREG_L             8534 0x2000a4 fdRdX            0xbaa8298b (-0.001283)
WREG_L             8534 0x2000a8 fdRdY            0x3b8c94f9 (0.004290)
WREG_L             8559 0x2000ac fstartG          0x434831c0 (200.194336)
WREG_L             8581 0x2000b0 fdGdX            0xbaa8298b (-0.001283)
WREG_L             8581 0x2000b4 fdGdY            0x3b8c94f9 (0.004290)
WREG_L             8606 0x2000b8 fstartB          0x434831c0 (200.194336)
WREG_L             8628 0x2000bc fdBdX            0xbaa8298b (-0.001283)
WREG_L             8628 0x2000c0 fdBdY            0x3b8c94f9 (0.004290)
WREG_L             8653 0x2000d0 fstartA          0x437f0000 (255.000000)
WREG_L             8696 0x2000d4 fdAdX            0x00000000 (0.000000)
WREG_L             8696 0x2000d8 fdAdY            0x80000000 (-0.000000)
WREG_L             8721 0x2000f4 fstartW          0x3a4726af (0.000760)
WREG_L             8764 0x2000f8 fdWdX            0x00000000 (0.000000)
WREG_L             8764 0x2000fc fdWdY            0x80000000 (-0.000000)
WTEX_L             8792 0xe20000 0x00000000
WREG_L             8830 0x200100 ftriangleCMD     0xc51ddcc0
WREG_L             8877-        8919 0x000110 fbzMode          0x000b4379 x2
WREG_L             9276 0x00010c alphaMode        0x00045110
WREG_L             9396 0x200088 fvertexAx        0x49400dd2 (786653.125000)
WREG_L             9471 0x20008c fvertexAy        0x494008c5 (786572.312500)
WREG_L             9471 0x200090 fvertexBx        0x49400fae (786682.875000)
WREG_L             9471 0x200094 fvertexBy        0x49400af5 (786607.312500)
WREG_L             9471 0x200098 fvertexCx        0x49400cdc (786637.750000)
WREG_L             9471 0x20009c fvertexCy        0x49400b72 (786615.125000)
WREG_L             9528 0x2000a0 fstartR          0x43499784 (201.591858)
WREG_L             9550 0x2000a4 fdRdX            0x3b5a476c (0.003331)
WREG_L             9550 0x2000a8 fdRdY            0x3bfea54e (0.007771)
WREG_L             9575 0x2000ac fstartG          0x43499784 (201.591858)
WREG_L             9597 0x2000b0 fdGdX            0x3b5a476c (0.003331)
WREG_L             9597 0x2000b4 fdGdY            0x3bfea54e (0.007771)
WREG_L             9622 0x2000b8 fstartB          0x43499784 (201.591858)
WREG_L             9644 0x2000bc fdBdX            0x3b5a476c (0.003331)
WREG_L             9644 0x2000c0 fdBdY            0x3bfea54e (0.007771)
WREG_L             9669 0x2000d0 fstartA          0x437f0000 (255.000000)
WREG_L             9712 0x2000d4 fdAdX            0x00000000 (0.000000)
WREG_L             9712 0x2000d8 fdAdY            0x80000000 (-0.000000)
WREG_L             9737 0x2000f4 fstartW          0x3a4726af (0.000760)
WREG_L             9780 0x2000f8 fdWdX            0x00000000 (0.000000)
WREG_L             9780 0x2000fc fdWdY            0x80000000 (-0.000000)
WTEX_L             9808 0xe20000 0x00000000
WREG_L             9846 0x200100 ftriangleCMD     0x44e27980
WREG_L             9893-        9935 0x000110 fbzMode          0x000b4379 x2
WREG_L            10292 0x00010c alphaMode        0x00045110
WREG_L            10414 0x200088 fvertexAx        0x4940114f (786708.937500)
WREG_L            10489 0x20008c fvertexAy        0x4940088f (786568.937500)
WREG_L            10489 0x200090 fvertexBx        0x49400fae (786682.875000)
WREG_L            10489 0x200094 fvertexBy        0x49400af5 (786607.312500)
WREG_L            10489 0x200098 fvertexCx        0x494012c5 (786732.312500)
WREG_L            10489 0x20009c fvertexCy        0x49400bac (786618.750000)
WREG_L            10546 0x2000a0 fstartR          0x434950a9 (201.315079)
WREG_L            10568 0x2000a4 fdRdX            0xbc10712d (-0.008816)
